,Total_Importance,Xx,Yy,Size,Segment
78,0.667723289723653,262,21,3.8163113594055176,298
79,2.135554177772773,142,21,1.9147058725357056,153
80,0.6277832807809755,184,22,2.6263253688812256,191
81,1.950322614843488,49,22,1.989148736000061,48
82,1.6575250165414634,49,22,1.989148736000061,48
83,2.3205197654771146,112,22,6.395252227783203,114
84,2.4028454242373805,91,23,2.2152161598205566,94
85,1.5851827832787084,193,23,6.6074538230896,214
86,1.4317315660835153,155,23,1.936873435974121,173
87,2.001141099416787,233,23,1.9231103658676147,248
88,1.8497285241881631,233,23,1.9231103658676147,248
89,1.7882390438335112,233,23,1.9231103658676147,248
90,1.6126355176981386,233,23,1.9231103658676147,248
91,2.188423930324834,134,23,6.09077787399292,154
92,1.214664235871794,105,24,2.261094808578491,102
93,2.237901643818115,46,24,2.5860588550567627,48
94,1.72872183036945,111,24,3.422290086746216,130
95,2.1504548075773133,242,24,2.0374133586883545,248
96,1.2301709924598134,119,24,1.9092209339141846,130
97,1.5846706872918264,179,25,2.114539384841919,191
98,2.375817102972211,123,25,1.9184051752090454,131
99,2.145966137460063,137,25,2.680321455001831,154
100,1.1410440725195294,235,26,1.853268027305603,248
101,1.7925343683095347,140,26,2.013674259185791,161
102,1.3656342065791989,43,27,2.0206947326660156,48
103,1.2577161182708705,43,27,2.0206947326660156,48
104,1.3278443513262739,43,27,2.0206947326660156,48
105,1.3639984135337007,49,27,2.2095396518707275,60
106,0.5856108449083449,257,27,15.13311767578125,279
107,2.174048699074529,261,27,2.249218225479126,290
108,1.4012672449816936,256,27,3.123182773590088,279
109,0.6331262389367811,239,27,2.229323148727417,248
110,1.4121547061691038,203,28,1.9458811283111572,226
111,1.9304115524474639,57,28,2.358670949935913,60
112,1.634384599670894,29,29,4.28192138671875,37
113,0.5767994927217142,45,30,9.965292930603027,50
114,2.3621770757089093,143,30,2.624802589416504,181
115,1.5845989150234476,10,30,3.0449883937835693,7
116,1.9539446214103806,68,30,1.9855737686157227,75
117,0.6262650544372322,212,30,2.2192938327789307,240
